"uid","team","teamName","time","responseTime","monthlySales","monthlyIncome"
"c01f179e4b57ab8bd9de309e6d576c48",0,"Team A",1,3.68019081879098,6,8500
"11946e7a3ed5e1776e81c0f0ecd383d0",0,"Team A",1,1.86701702958314,7,9500
"dd4ad37ee474732a009111e3456e7ed7",0,"Team A",1,0.905304639578694,6,8500
"25e6a154090e35101d7678d6f034353a",0,"Team A",1,1.38334306856622,8,10500
"7c7124efff5c7039a1b1e7cba65c5379",0,"Team A",1,3.46117336402217,6,8500
"9d08099943f8627959cfb8ecee0d2f5d",0,"Team A",1,1.1188294354064,10,12500
"71db8a6cad03244e6e50f0ad8bc95a65",0,"Team A",1,1.90249470251193,6,8500
"8ae1ac7bdf62dca7c19b427a9153445c",0,"Team A",1,2.56526704446833,6,8500
"e03a89536262b6a0e2beabd90a841c43",0,"Team A",1,3.09994504817819,6,8500
"7eeda5fe3e5d82c2168536f9459170dd",0,"Team A",1,1.5209694601689,8,10500
"20e70f4a08bdc6a54e53ad0a7d1498b6",0,"Team A",1,1.66313625634772,8,10500
"2a099397e2d2dd0f2a2e5a5b4234867d",0,"Team A",1,2.10841476994543,5,7500
"e6e598642c5fbbfb7d922dbfcec86ed8",0,"Team A",1,2.99705702243051,5,7500
"f92eebebcfea9ebd99a68de2cb409133",0,"Team A",1,2.94854545900692,5,7500
"5462ea21bef8d27d5a0ea4da35939549",0,"Team A",1,2.75306285511451,6,8500
"a266aa4a0aa711355be22e0f3b8d91af",0,"Team A",1,1.28623604235436,6,8500
"7d2842cab7725fd8f382293e410d42b2",0,"Team A",1,2.90911662072905,38,40500
"5f80a2fefde46c5f55850375f0330dae",0,"Team A",1,3.25280407602623,5,7500
"569ddf8dcb5af0cbc7177be6a8b9700d",0,"Team A",1,0.139557229497601,44,46500
"20c9a920779e3feca5b4ed6948450f8a",0,"Team A",1,4.22622763718407,5,7500
"ade76ff25149e0df3a56010f12ea82fd",0,"Team A",1,1.70357871595413,8,10500
"86445152ab5a5c8bffb7b2e02dc13beb",0,"Team A",1,4.16619179870397,11,13500
"3a289991381335a0fc94ad80f79fe88e",0,"Team A",1,0.1,44,46500
"9df68a3a913f1efcc1ee23b4f1d66439",0,"Team A",1,3.20368654347229,5,7500
"d17ee83b24d91542bc3be4b61e80adc4",0,"Team A",1,2.47596501395892,6,8500
"d12fa881d1ea15550212c4587e29bdb8",0,"Team A",1,2.14724536104533,6,8500
"80b0ae73fe0e882b0a24973e4e2c8203",0,"Team A",1,1.4153730308816,9,11500
"754bc61780613e9dbb928b88e1e3d6f5",0,"Team A",1,4.86212771562061,3,5500
"5b64a41e0f2c1152e7945d518cec93aa",0,"Team A",1,2.12265444798416,6,8500
"15865a3cff7594d62b7897f23fb27fa8",0,"Team A",1,3.71673810805283,4,6500
"192b298ed4661ab6d9a4a193b2e60b49",0,"Team A",1,2.3281265264724,6,8500
"8dcc9ab9194a962167360a4ff6bb6827",0,"Team A",1,2.45073947736721,5,7500
"2c45c8cf026c7d9bbf15d52f63c323ea",0,"Team A",1,4.40251731849638,5,7500
"22b237f09483940655e05981a6c3105e",0,"Team A",1,1.686432713801,6,8500
"6cb0c41728b80235d1532f88c59ce9e6",0,"Team A",1,4.58255760981001,3,5500
"3c751d122f0ba36ec8280d355e25b96e",0,"Team A",1,2.01831047615228,6,8500
"e65288ab08a1f50a7e0e9a972d0cdad3",0,"Team A",1,0.547110042874264,44,46500
"5dfdba537fcd9880bb235099a0b2d71b",0,"Team A",1,1.6200424003539,5,7500
"3742cd671c7f6d482c2e7942eeb43346",0,"Team A",1,3.13970388438539,4,6500
"1b387a44b518030b040d524a5fa7e672",0,"Team A",1,1.29202204675682,12,14500
